P1,P2,Weight
94,112,-0.8496696124064033
94,113,-0.9351702861596852
112,113,-0.9983584016829592
112,130,-0.9983584016829592
112,131,-0.977530117665097
130,131,-0.9045867109767788
130,148,-0.9642251281632545
130,149,-0.8140454157770366
148,149,-0.735926658619139
148,166,-0.927823252743304
148,167,-0.6914773966101274
166,167,-0.6914773966101274
166,184,-0.9642251281632545
166,185,-0.735926658619139
184,185,-0.8140454157770366
184,202,-0.9983584016829592
184,203,-0.9045867109767788
202,203,-0.977530117665097
202,220,-0.8496696124064033
202,221,-0.9983584016829592
220,221,-0.9351702861596852
220,238,-0.3785898330448362
220,239,-0.7674527255292299
238,239,-0.494191001163918
238,256,0.3251713981320959
238,257,-0.1386344768643796
256,257,0.252403239030284
256,274,0.8984115613773844
256,275,0.6155129809391914
274,275,0.8830276192531098
274,292,0.9297521640155444
274,293,0.9982153206001496
292,293,0.9297521640155444
292,310,0.3222215451127417
292,311,0.6817135162782886
310,311,0.2961259884689873
5,6,0.163905468572637
5,23,0.2435244837393342
23,6,0.5936443924712849
23,24,0.8926180020541369
23,41,0.9181643334635528
41,24,0.9999914501190752
41,42,0.8984115613773844
41,59,0.8830276192531098
59,42,0.6155129809391914
59,60,0.2151199880878155
59,77,0.2151199880878155
77,60,-0.2192127099952987
77,78,-0.6039688631641295
77,95,-0.5681672268584413
95,78,-0.8738337560726113
95,96,-0.9940178111289956
95,113,-0.977603638465729
113,96,-0.9642251281632545
113,114,-0.8140454157770366
113,131,-0.9045867109767788
131,114,-0.5918278363708653
131,132,-0.3507832276896198
131,149,-0.591827836370865
149,132,-0.136697264333464
149,150,0.0190924942569946
149,167,-0.3507832276896194
167,150,0.1000437467937017
167,168,0.1000437467937017
167,185,-0.3507832276896194
185,168,0.0190924942569946
185,186,-0.136697264333464
185,203,-0.591827836370865
203,186,-0.3507832276896198
203,204,-0.5918278363708653
203,221,-0.9045867109767788
221,204,-0.8140454157770366
221,222,-0.9642251281632545
221,239,-0.977603638465729
239,222,-0.9940178111289956
239,240,-0.8738337560726113
239,257,-0.5681672268584413
257,240,-0.6039688631641295
257,258,-0.2192127099952987
257,275,0.2151199880878155
275,258,0.2151199880878155
275,276,0.6155129809391914
275,293,0.8830276192531098
293,276,0.8984115613773844
293,294,0.9999914501190752
293,311,0.9181643334635528
311,294,0.8926180020541369
311,312,0.5936443924712849
6,7,0.3994343662553819
6,24,0.8486754940427508
6,25,0.7804697960020524
24,25,0.9814798511409962
24,42,0.9258984372844145
24,43,0.958924944344792
42,43,0.7212035240830527
42,60,0.252403239030284
42,61,0.3251713981320959
60,61,-0.1386344768643796
60,78,-0.6039688631641295
60,79,-0.5681672268584413
78,79,-0.8738337560726113
78,96,-0.9983584016829592
78,97,-0.9983584016829592
96,97,-0.9278232527433043
96,114,-0.7359266586191393
96,115,-0.6914773966101274
114,115,-0.3507832276896198
114,132,-0.136697264333464
114,133,0.0190924942569946
132,133,0.3501305500284013
132,150,0.3501305500284013
132,151,0.5984721441039565
150,151,0.7514815371342608
150,168,0.5171488897344491
150,169,0.8204188436010453
168,169,0.8204188436010453
168,186,0.3501305500284013
168,187,0.7514815371342608
186,187,0.5984721441039565
186,204,-0.136697264333464
186,205,0.3501305500284013
204,205,0.0190924942569946
204,222,-0.7359266586191393
204,223,-0.3507832276896198
222,223,-0.6914773966101274
222,240,-0.9983584016829592
222,241,-0.9278232527433043
240,241,-0.9983584016829592
240,258,-0.6039688631641295
240,259,-0.8738337560726113
258,259,-0.5681672268584413
258,276,0.252403239030284
258,277,-0.1386344768643796
276,277,0.3251713981320959
276,294,0.9258984372844145
276,295,0.7212035240830527
294,295,0.958924944344792
294,312,0.8486754940427508
294,313,0.9814798511409962
312,313,0.7804697960020524
7,8,0.5470825314519259
7,25,0.6817135162782886
25,8,0.8786996699526517
25,26,0.9999914501190752
25,43,0.9877664589825208
43,26,0.8830276192531098
43,44,0.5569244681683874
43,61,0.4292179343260667
61,44,0.1002188341819074
61,62,-0.3785898330448362
61,79,-0.494191001163918
79,62,-0.7674527255292299
79,80,-0.977603638465729
79,97,-0.9940178111289956
97,80,-0.9642251281632545
97,98,-0.7359266586191393
97,115,-0.6914773966101274
115,98,-0.3507832276896198
115,116,0.1000437467937017
115,133,0.1000437467937017
133,116,0.5171488897344491
133,134,0.8204188436010451
133,151,0.7514815371342608
151,134,0.9732132496422036
151,152,0.9974949866040544
151,169,0.9732132496422036
169,152,0.9694247609041736
169,170,0.9694247609041736
169,187,0.9732132496422036
187,170,0.9974949866040544
187,188,0.9732132496422036
187,205,0.7514815371342608
205,188,0.8204188436010451
205,206,0.5171488897344491
205,223,0.1000437467937017
223,206,0.1000437467937017
223,224,-0.3507832276896198
223,241,-0.6914773966101274
241,224,-0.7359266586191393
241,242,-0.9642251281632545
241,259,-0.9940178111289956
259,242,-0.977603638465729
259,260,-0.7674527255292299
259,277,-0.494191001163918
277,260,-0.3785898330448362
277,278,0.1002188341819074
277,295,0.4292179343260667
295,278,0.5569244681683874
295,296,0.8830276192531098
295,313,0.9877664589825208
313,296,0.9999914501190752
313,314,0.8786996699526517
8,9,0.6163272119803838
8,26,0.9814798511409962
8,27,0.9181643334635528
26,27,0.9957806905528952
26,44,0.6962663768365805
26,45,0.8303492934724779
44,45,0.4623904909451666
44,62,-0.2192127099952987
44,63,-0.0182022588233763
62,63,-0.494191001163918
62,80,-0.9351702861596852
62,81,-0.8496696124064033
80,81,-0.9983584016829592
80,98,-0.8140454157770366
80,99,-0.9045867109767788
98,99,-0.5918278363708653
98,116,0.0190924942569946
98,117,-0.136697264333464
116,117,0.3501305500284013
116,134,0.8204188436010451
116,135,0.7514815371342608
134,135,0.9732132496422036
134,152,0.9694247609041736
134,153,0.9694247609041736
152,153,0.7617599814162892
152,170,0.7617599814162892
152,171,0.4794255386042029
170,171,0.4794255386042029
170,188,0.9694247609041736
170,189,0.7617599814162892
188,189,0.9694247609041736
188,206,0.8204188436010451
188,207,0.9732132496422036
206,207,0.7514815371342608
206,224,0.0190924942569946
206,225,0.3501305500284013
224,225,-0.136697264333464
224,242,-0.8140454157770366
224,243,-0.5918278363708653
242,243,-0.9045867109767788
242,260,-0.9351702861596852
242,261,-0.9983584016829592
260,261,-0.8496696124064033
260,278,-0.2192127099952987
260,279,-0.494191001163918
278,279,-0.0182022588233763
278,296,0.6962663768365805
278,297,0.4623904909451666
296,297,0.8303492934724779
296,314,0.9814798511409962
296,315,0.9957806905528952
314,315,0.9181643334635528
9,10,0.6163272119803838
9,27,0.7984871126234903
27,10,0.9181643334635528
27,28,0.9957806905528952
27,45,0.9379999767747388
45,28,0.8303492934724779
45,46,0.4623904909451666
45,63,0.2151199880878155
63,46,-0.0182022588233763
63,64,-0.494191001163918
63,81,-0.7055403255703919
81,64,-0.8496696124064033
81,82,-0.9983584016829592
81,99,-0.977530117665097
99,82,-0.9045867109767788
99,100,-0.5918278363708653
99,117,-0.3507832276896198
117,100,-0.136697264333464
117,118,0.3501305500284013
117,135,0.5984721441039565
135,118,0.7514815371342608
135,136,0.9732132496422036
135,153,0.9974949866040544
153,136,0.9694247609041736
153,154,0.7617599814162892
153,171,0.479425538604203
171,154,0.4794255386042029
171,172,0.4794255386042029
171,189,0.479425538604203
189,172,0.7617599814162892
189,190,0.9694247609041736
189,207,0.9974949866040544
207,190,0.9732132496422036
207,208,0.7514815371342608
207,225,0.5984721441039565
225,208,0.3501305500284013
225,226,-0.136697264333464
225,243,-0.3507832276896198
243,226,-0.5918278363708653
243,244,-0.9045867109767788
243,261,-0.977530117665097
261,244,-0.9983584016829592
261,262,-0.8496696124064033
261,279,-0.7055403255703919
279,262,-0.494191001163918
279,280,-0.0182022588233763
279,297,0.2151199880878155
297,280,0.4623904909451666
297,298,0.8303492934724779
297,315,0.9379999767747388
315,298,0.9957806905528952
315,316,0.9181643334635528
10,11,0.5470825314519259
10,28,0.9814798511409962
10,29,0.8786996699526517
28,29,0.9999914501190752
28,46,0.6962663768365805
28,47,0.8830276192531098
46,47,0.5569244681683874
46,64,-0.2192127099952987
46,65,0.1002188341819074
64,65,-0.3785898330448362
64,82,-0.9351702861596852
64,83,-0.7674527255292299
82,83,-0.977603638465729
82,100,-0.8140454157770366
82,101,-0.9642251281632545
100,101,-0.7359266586191393
100,118,0.0190924942569946
100,119,-0.3507832276896198
118,119,0.1000437467937017
118,136,0.8204188436010451
118,137,0.5171488897344491
136,137,0.8204188436010451
136,154,0.9694247609041736
136,155,0.9732132496422036
154,155,0.9974949866040544
154,172,0.7617599814162892
154,173,0.9694247609041736
172,173,0.9694247609041736
172,190,0.9694247609041736
172,191,0.9974949866040544
190,191,0.9732132496422036
190,208,0.8204188436010451
190,209,0.8204188436010451
208,209,0.5171488897344491
208,226,0.0190924942569946
208,227,0.1000437467937017
226,227,-0.3507832276896198
226,244,-0.8140454157770366
226,245,-0.7359266586191393
244,245,-0.9642251281632545
244,262,-0.9351702861596852
244,263,-0.977603638465729
262,263,-0.7674527255292299
262,280,-0.2192127099952987
262,281,-0.3785898330448362
280,281,0.1002188341819074
280,298,0.6962663768365805
280,299,0.5569244681683874
298,299,0.8830276192531098
298,316,0.9814798511409962
298,317,0.9999914501190752
316,317,0.8786996699526517
11,12,0.3994343662553819
11,29,0.6817135162782886
29,12,0.7804697960020524
29,30,0.9814798511409962
29,47,0.9877664589825208
47,30,0.958924944344792
47,48,0.7212035240830527
47,65,0.4292179343260667
65,48,0.3251713981320959
65,66,-0.1386344768643796
65,83,-0.494191001163918
83,66,-0.5681672268584413
83,84,-0.8738337560726113
83,101,-0.9940178111289956
101,84,-0.9983584016829592
101,102,-0.9278232527433043
101,119,-0.6914773966101274
119,102,-0.6914773966101274
119,120,-0.3507832276896198
119,137,0.1000437467937017
137,120,0.0190924942569946
137,138,0.3501305500284013
137,155,0.7514815371342608
155,138,0.5984721441039565
155,156,0.7514815371342608
155,173,0.9732132496422036
173,156,0.8204188436010453
173,174,0.8204188436010453
173,191,0.9732132496422036
191,174,0.7514815371342608
191,192,0.5984721441039565
191,209,0.7514815371342608
209,192,0.3501305500284013
209,210,0.0190924942569946
209,227,0.1000437467937017
227,210,-0.3507832276896198
227,228,-0.6914773966101274
227,245,-0.6914773966101274
245,228,-0.9278232527433043
245,246,-0.9983584016829592
245,263,-0.9940178111289956
263,246,-0.8738337560726113
263,264,-0.5681672268584413
263,281,-0.494191001163918
281,264,-0.1386344768643796
281,282,0.3251713981320959
281,299,0.4292179343260667
299,282,0.7212035240830527
299,300,0.958924944344792
299,317,0.9877664589825208
317,300,0.9814798511409962
317,318,0.7804697960020524
12,13,0.163905468572637
12,30,0.8486754940427508
12,31,0.5936443924712849
30,31,0.8926180020541369
30,48,0.9258984372844145
30,49,0.9999914501190752
48,49,0.8984115613773844
48,66,0.252403239030284
48,67,0.6155129809391914
66,67,0.2151199880878155
66,84,-0.6039688631641295
66,85,-0.2192127099952987
84,85,-0.6039688631641295
84,102,-0.9983584016829592
84,103,-0.8738337560726113
102,103,-0.9940178111289956
102,120,-0.7359266586191393
102,121,-0.9642251281632545
120,121,-0.8140454157770366
120,138,-0.136697264333464
120,139,-0.5918278363708653
138,139,-0.3507832276896198
138,156,0.3501305500284013
138,157,-0.136697264333464
156,157,0.0190924942569946
156,174,0.5171488897344491
156,175,0.1000437467937017
174,175,0.1000437467937017
174,192,0.3501305500284013
174,193,0.0190924942569946
192,193,-0.136697264333464
192,210,-0.136697264333464
192,211,-0.3507832276896198
210,211,-0.5918278363708653
210,228,-0.7359266586191393
210,229,-0.8140454157770366
228,229,-0.9642251281632545
228,246,-0.9983584016829592
228,247,-0.9940178111289956
246,247,-0.8738337560726113
246,264,-0.6039688631641295
246,265,-0.6039688631641295
264,265,-0.2192127099952987
264,282,0.252403239030284
264,283,0.2151199880878155
282,283,0.6155129809391914
282,300,0.9258984372844145
282,301,0.8984115613773844
300,301,0.9999914501190752
300,318,0.8486754940427508
