# S1,S2,S3,S4,Weight
7.000000000000000000e+00,2.000000000000000000e+01,2.100000000000000000e+01,6.300000000000000000e+01,-7.488163766631502627e-01
2.000000000000000000e+01,4.800000000000000000e+01,6.200000000000000000e+01,6.300000000000000000e+01,-9.362135079741960020e-01
7.000000000000000000e+00,4.800000000000000000e+01,4.900000000000000000e+01,6.300000000000000000e+01,-7.488163766631502627e-01
7.000000000000000000e+00,2.000000000000000000e+01,4.800000000000000000e+01,6.300000000000000000e+01,-8.686676984299137594e-01
7.000000000000000000e+00,4.900000000000000000e+01,5.000000000000000000e+01,6.300000000000000000e+01,-4.338886929449125018e-01
2.200000000000000000e+01,5.000000000000000000e+01,6.300000000000000000e+01,6.400000000000000000e+01,-2.538744039565476313e-02
7.000000000000000000e+00,8.000000000000000000e+00,2.200000000000000000e+01,5.000000000000000000e+01,-7.666175770764423192e-02
7.000000000000000000e+00,2.100000000000000000e+01,2.200000000000000000e+01,6.300000000000000000e+01,-4.338886929449125018e-01
7.000000000000000000e+00,2.200000000000000000e+01,5.000000000000000000e+01,6.300000000000000000e+01,-2.537717163322859570e-01
8.000000000000000000e+00,9.000000000000000000e+00,2.200000000000000000e+01,5.000000000000000000e+01,3.172919556362534532e-01
9.000000000000000000e+00,2.200000000000000000e+01,2.300000000000000000e+01,6.500000000000000000e+01,6.782129189271464131e-01
2.200000000000000000e+01,5.000000000000000000e+01,6.400000000000000000e+01,6.500000000000000000e+01,3.626748783127186071e-01
9.000000000000000000e+00,5.000000000000000000e+01,5.100000000000000000e+01,6.500000000000000000e+01,6.782129189271464131e-01
9.000000000000000000e+00,2.200000000000000000e+01,5.000000000000000000e+01,6.500000000000000000e+01,5.143963138667936308e-01
9.000000000000000000e+00,5.100000000000000000e+01,5.200000000000000000e+01,6.500000000000000000e+01,9.102107031892540112e-01
2.400000000000000000e+01,5.200000000000000000e+01,6.500000000000000000e+01,6.600000000000000000e+01,9.999682912179395089e-01
9.000000000000000000e+00,1.000000000000000000e+01,2.400000000000000000e+01,5.200000000000000000e+01,9.988068262933038621e-01
9.000000000000000000e+00,2.300000000000000000e+01,2.400000000000000000e+01,6.500000000000000000e+01,9.102107031892540112e-01
9.000000000000000000e+00,2.400000000000000000e+01,5.200000000000000000e+01,6.500000000000000000e+01,9.729877601781534713e-01
1.000000000000000000e+01,1.100000000000000000e+01,2.400000000000000000e+01,5.200000000000000000e+01,9.390654552431815238e-01
1.100000000000000000e+01,2.400000000000000000e+01,2.500000000000000000e+01,6.700000000000000000e+01,7.184375627832372269e-01
2.400000000000000000e+01,5.200000000000000000e+01,6.600000000000000000e+01,6.700000000000000000e+01,9.249835954117366921e-01
1.100000000000000000e+01,5.200000000000000000e+01,5.300000000000000000e+01,6.700000000000000000e+01,7.184375627832372269e-01
1.100000000000000000e+01,2.400000000000000000e+01,5.200000000000000000e+01,6.700000000000000000e+01,8.445648068000479736e-01
1.100000000000000000e+01,5.300000000000000000e+01,5.400000000000000000e+01,6.700000000000000000e+01,3.917962385277157233e-01
2.600000000000000000e+01,5.400000000000000000e+01,6.700000000000000000e+01,6.800000000000000000e+01,-1.344180561287579290e-02
1.100000000000000000e+01,1.200000000000000000e+01,2.600000000000000000e+01,5.400000000000000000e+01,2.052216357297991303e-02
1.100000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,6.700000000000000000e+01,3.917962385277157233e-01
1.100000000000000000e+01,2.600000000000000000e+01,5.400000000000000000e+01,6.700000000000000000e+01,2.059193154165039619e-01
1.200000000000000000e+01,1.300000000000000000e+01,2.600000000000000000e+01,5.400000000000000000e+01,-3.702729350015161458e-01
