S1,S2,S3,Weight
976,977,1012,1000
977,1012,1013,1000
1012,1013,1048,1000
1013,1048,1049,1000
1048,1049,1084,1000
1049,1084,1085,1000
1084,1085,1120,1000
1085,1120,1121,1000
1120,1121,1156,1000
1121,1156,1157,1000
1156,1157,1192,1000
1157,1192,1193,1000
1192,1193,1228,1000
1193,1228,1229,1000
1228,1229,1264,1000
1229,1264,1265,1000
5,6,42,1000
5,41,42,1000
41,42,78,1000
41,77,78,1000
77,78,114,1000
77,113,114,1000
113,114,150,1000
113,149,150,1000
149,150,186,1000
149,185,186,1000
185,186,222,1000
185,221,222,1000
221,222,258,1000
221,257,258,1000
257,258,294,1000
257,293,294,1000
293,294,330,1000
293,329,330,1000
329,330,366,1000
329,365,366,1000
365,366,402,1000
365,401,402,1000
401,402,438,1000
401,437,438,1000
437,438,474,1000
437,473,474,1000
473,474,510,1000
473,509,510,1000
509,510,546,1000
509,545,546,1000
545,546,582,1000
545,581,582,1000
581,582,618,1000
581,617,618,1000
617,618,654,1000
617,653,654,1000
653,654,690,1000
653,689,690,1000
689,690,726,1000
689,725,726,1000
725,726,762,1000
725,761,762,1000
761,762,798,1000
761,797,798,1000
797,798,834,1000
797,833,834,1000
833,834,870,1000
833,869,870,1000
869,870,906,1000
869,905,906,1000
905,906,942,1000
905,941,942,1000
941,942,978,1000
941,977,978,1000
977,978,1014,1000
977,1013,1014,1000
1013,1014,1050,1000
1013,1049,1050,1000
1049,1050,1086,1000
1049,1085,1086,1000
1085,1086,1122,1000
1085,1121,1122,1000
1121,1122,1158,1000
1121,1157,1158,1000
1157,1158,1194,1000
1157,1193,1194,1000
1193,1194,1230,1000
1193,1229,1230,1000
1229,1230,1266,1000
1229,1265,1266,1000
6,7,42,1000
7,42,43,1000
42,43,78,1000
43,78,79,1000
78,79,114,1000
79,114,115,1000
114,115,150,1000
115,150,151,1000
150,151,186,1000
151,186,187,1000
186,187,222,1000
187,222,223,1000
222,223,258,1000
223,258,259,1000
258,259,294,1000
259,294,295,1000
294,295,330,1000
295,330,331,1000
330,331,366,1000
331,366,367,1000
366,367,402,1000
367,402,403,1000
402,403,438,1000
403,438,439,1000
438,439,474,1000
439,474,475,1000
474,475,510,1000
475,510,511,1000
510,511,546,1000
511,546,547,1000
546,547,582,1000
547,582,583,1000
582,583,618,1000
583,618,619,1000
618,619,654,1000
619,654,655,1000
654,655,690,1000
655,690,691,1000
690,691,726,1000
691,726,727,1000
726,727,762,1000
727,762,763,1000
762,763,798,1000
763,798,799,1000
798,799,834,1000
799,834,835,1000
834,835,870,1000
835,870,871,1000
870,871,906,1000
871,906,907,1000
906,907,942,1000
907,942,943,1000
942,943,978,1000
943,978,979,1000
978,979,1014,1000
979,1014,1015,1000
1014,1015,1050,1000
1015,1050,1051,1000
1050,1051,1086,1000
1051,1086,1087,1000
1086,1087,1122,1000
1087,1122,1123,1000
1122,1123,1158,1000
1123,1158,1159,1000
1158,1159,1194,1000
1159,1194,1195,1000
1194,1195,1230,1000
1195,1230,1231,1000
1230,1231,1266,1000
1231,1266,1267,1000
7,8,44,1000
7,43,44,1000
43,44,80,1000
43,79,80,1000
79,80,116,1000
79,115,116,1000
115,116,152,1000
115,151,152,1000
151,152,188,1000
151,187,188,1000
187,188,224,1000
187,223,224,1000
223,224,260,1000
223,259,260,1000
259,260,296,1000
259,295,296,1000
295,296,332,1000
295,331,332,1000
331,332,368,1000
331,367,368,1000
367,368,404,1000
367,403,404,1000
403,404,440,1000
403,439,440,1000
439,440,476,1000
439,475,476,1000
475,476,512,1000
475,511,512,1000
511,512,548,1000
511,547,548,1000
547,548,584,1000
547,583,584,1000
583,584,620,1000
583,619,620,1000
619,620,656,1000
619,655,656,1000
655,656,692,1000
655,691,692,1000
691,692,728,1000
691,727,728,1000
727,728,764,1000
727,763,764,1000
763,764,800,1000
763,799,800,1000
799,800,836,1000
799,835,836,1000
835,836,872,1000
835,871,872,1000
871,872,908,1000
871,907,908,1000
907,908,944,1000
907,943,944,1000
943,944,980,1000
943,979,980,1000
979,980,1016,1000
979,1015,1016,1000
1015,1016,1052,1000
1015,1051,1052,1000
1051,1052,1088,1000
1051,1087,1088,1000
1087,1088,1124,1000
1087,1123,1124,1000
1123,1124,1160,1000
1123,1159,1160,1000
1159,1160,1196,1000
1159,1195,1196,1000
1195,1196,1232,1000
1195,1231,1232,1000
1231,1232,1268,1000
1231,1267,1268,1000
8,9,44,1000
9,44,45,1000
44,45,80,1000
45,80,81,1000
80,81,116,1000
81,116,117,1000
116,117,152,1000
117,152,153,1000
152,153,188,1000
153,188,189,1000
188,189,224,1000
189,224,225,1000
224,225,260,1000
225,260,261,1000
260,261,296,1000
261,296,297,1000
296,297,332,1000
297,332,333,1000
332,333,368,1000
333,368,369,1000
368,369,404,1000
369,404,405,1000
404,405,440,1000
405,440,441,1000
440,441,476,1000
441,476,477,1000
476,477,512,1000
477,512,513,1000
512,513,548,1000
513,548,549,1000
548,549,584,1000
549,584,585,1000
584,585,620,1000
585,620,621,1000
620,621,656,1000
621,656,657,1000
656,657,692,1000
657,692,693,1000
692,693,728,1000
693,728,729,1000
728,729,764,1000
729,764,765,1000
764,765,800,1000
765,800,801,1000
800,801,836,1000
801,836,837,1000
836,837,872,1000
837,872,873,1000
872,873,908,1000
873,908,909,1000
908,909,944,1000
909,944,945,1000
944,945,980,1000
945,980,981,1000
980,981,1016,1000
981,1016,1017,1000
1016,1017,1052,1000
1017,1052,1053,1000
1052,1053,1088,1000
1053,1088,1089,1000
1088,1089,1124,1000
1089,1124,1125,1000
1124,1125,1160,1000
1125,1160,1161,1000
1160,1161,1196,1000
1161,1196,1197,1000
1196,1197,1232,1000
1197,1232,1233,1000
1232,1233,1268,1000
1233,1268,1269,1000
9,10,46,1000
9,45,46,1000
45,46,82,1000
45,81,82,1000
81,82,118,1000
81,117,118,1000
117,118,154,1000
117,153,154,1000
153,154,190,1000
153,189,190,1000
189,190,226,1000
189,225,226,1000
225,226,262,1000
225,261,262,1000
261,262,298,1000
261,297,298,1000
297,298,334,1000
297,333,334,1000
333,334,370,1000
333,369,370,1000
369,370,406,1000
369,405,406,1000
405,406,442,1000
405,441,442,1000
441,442,478,1000
441,477,478,1000
477,478,514,1000
477,513,514,1000
513,514,550,1000
513,549,550,1000
549,550,586,1000
549,585,586,1000
585,586,622,1000
585,621,622,1000
621,622,658,1000
621,657,658,1000
657,658,694,1000
657,693,694,1000
693,694,730,1000
693,729,730,1000
729,730,766,1000
729,765,766,1000
765,766,802,1000
765,801,802,1000
801,802,838,1000
801,837,838,1000
837,838,874,1000
837,873,874,1000
873,874,910,1000
873,909,910,1000
909,910,946,1000
909,945,946,1000
945,946,982,1000
945,981,982,1000
981,982,1018,1000
981,1017,1018,1000
1017,1018,1054,1000
1017,1053,1054,1000
1053,1054,1090,1000
1053,1089,1090,1000
1089,1090,1126,1000
1089,1125,1126,1000
1125,1126,1162,1000
1125,1161,1162,1000
1161,1162,1198,1000
1161,1197,1198,1000
1197,1198,1234,1000
1197,1233,1234,1000
1233,1234,1270,1000
1233,1269,1270,1000
10,11,46,1000
11,46,47,1000
46,47,82,1000
47,82,83,1000
82,83,118,1000
83,118,119,1000
118,119,154,1000
119,154,155,1000
154,155,190,1000
155,190,191,1000
190,191,226,1000
191,226,227,1000
226,227,262,1000
227,262,263,1000
262,263,298,1000
263,298,299,1000
298,299,334,1000
299,334,335,1000
334,335,370,1000
335,370,371,1000
370,371,406,1000
371,406,407,1000
406,407,442,1000
407,442,443,1000
442,443,478,1000
443,478,479,1000
478,479,514,1000
479,514,515,0
514,515,550,0
515,550,551,0
550,551,586,1000
551,586,587,1000
586,587,622,1000
