Node Number,X,Y,Z,Weight
0,-18.0,-15.588457268119894,0.0,1000
1,-17.5,-14.722431864335457,0.0,1000
2,-18.0,-13.856406460551018,0.0,1000
3,-17.5,-12.990381056766578,0.0,1000
4,-18.0,-12.12435565298214,0.0,1000
5,-17.5,-11.258330249197702,0.0,1000
6,-18.0,-10.392304845413264,0.0,1000
7,-17.5,-9.526279441628825,0.0,1000
8,-18.0,-8.660254037844386,0.0,1000
9,-17.5,-7.794228634059947,0.0,1000
10,-18.0,-6.928203230275509,0.0,1000
11,-17.5,-6.06217782649107,0.0,1000
12,-18.0,-5.196152422706632,0.0,1000
13,-17.5,-4.330127018922193,0.0,1000
14,-18.0,-3.4641016151377544,0.0,1000
15,-17.5,-2.598076211353316,0.0,1000
16,-18.0,-1.7320508075688772,0.0,1000
17,-17.5,-0.8660254037844386,0.0,1000
18,-18.0,0.0,0.0,1000
19,-17.5,0.8660254037844386,0.0,1000
20,-18.0,1.7320508075688772,0.0,1000
21,-17.5,2.598076211353316,0.0,1000
22,-18.0,3.4641016151377544,0.0,1000
23,-17.5,4.330127018922193,0.0,1000
24,-18.0,5.196152422706632,0.0,1000
25,-17.5,6.06217782649107,0.0,1000
26,-18.0,6.928203230275509,0.0,1000
27,-17.5,7.794228634059947,0.0,1000
28,-18.0,8.660254037844386,0.0,1000
29,-17.5,9.526279441628825,0.0,1000
30,-18.0,10.392304845413264,0.0,1000
31,-17.5,11.258330249197702,0.0,1000
32,-18.0,12.12435565298214,0.0,1000
33,-17.5,12.990381056766578,0.0,1000
34,-18.0,13.856406460551018,0.0,1000
35,-17.5,14.722431864335457,0.0,1000
36,-17.0,-15.588457268119894,0.0,1000
37,-16.5,-14.722431864335457,0.0,1000
38,-17.0,-13.856406460551018,0.0,1000
39,-16.5,-12.990381056766578,0.0,1000
40,-17.0,-12.12435565298214,0.0,1000
41,-16.5,-11.258330249197702,0.0,1000
42,-17.0,-10.392304845413264,0.0,1000
43,-16.5,-9.526279441628825,0.0,1000
44,-17.0,-8.660254037844386,0.0,1000
45,-16.5,-7.794228634059947,0.0,1000
46,-17.0,-6.928203230275509,0.0,1000
47,-16.5,-6.06217782649107,0.0,1000
48,-17.0,-5.196152422706632,0.0,1000
49,-16.5,-4.330127018922193,0.0,1000
50,-17.0,-3.4641016151377544,0.0,1000
51,-16.5,-2.598076211353316,0.0,1000
52,-17.0,-1.7320508075688772,0.0,1000
53,-16.5,-0.8660254037844386,0.0,1000
54,-17.0,0.0,0.0,1000
55,-16.5,0.8660254037844386,0.0,1000
56,-17.0,1.7320508075688772,0.0,1000
57,-16.5,2.598076211353316,0.0,1000
58,-17.0,3.4641016151377544,0.0,1000
59,-16.5,4.330127018922193,0.0,1000
60,-17.0,5.196152422706632,0.0,1000
61,-16.5,6.06217782649107,0.0,1000
62,-17.0,6.928203230275509,0.0,1000
63,-16.5,7.794228634059947,0.0,1000
64,-17.0,8.660254037844386,0.0,1000
65,-16.5,9.526279441628825,0.0,1000
66,-17.0,10.392304845413264,0.0,1000
67,-16.5,11.258330249197702,0.0,1000
68,-17.0,12.12435565298214,0.0,1000
69,-16.5,12.990381056766578,0.0,1000
70,-17.0,13.856406460551018,0.0,1000
71,-16.5,14.722431864335457,0.0,1000
72,-16.0,-15.588457268119894,0.0,1000
73,-15.5,-14.722431864335457,0.0,1000
74,-16.0,-13.856406460551018,0.0,1000
75,-15.5,-12.990381056766578,0.0,1000
76,-16.0,-12.12435565298214,0.0,1000
77,-15.5,-11.258330249197702,0.0,1000
78,-16.0,-10.392304845413264,0.0,1000
79,-15.5,-9.526279441628825,0.0,1000
80,-16.0,-8.660254037844386,0.0,1000
81,-15.5,-7.794228634059947,0.0,1000
82,-16.0,-6.928203230275509,0.0,1000
83,-15.5,-6.06217782649107,0.0,1000
84,-16.0,-5.196152422706632,0.0,1000
85,-15.5,-4.330127018922193,0.0,1000
86,-16.0,-3.4641016151377544,0.0,1000
87,-15.5,-2.598076211353316,0.0,1000
88,-16.0,-1.7320508075688772,0.0,1000
89,-15.5,-0.8660254037844386,0.0,1000
90,-16.0,0.0,0.0,1000
91,-15.5,0.8660254037844386,0.0,1000
92,-16.0,1.7320508075688772,0.0,1000
93,-15.5,2.598076211353316,0.0,1000
94,-16.0,3.4641016151377544,0.0,1000
95,-15.5,4.330127018922193,0.0,1000
96,-16.0,5.196152422706632,0.0,1000
97,-15.5,6.06217782649107,0.0,1000
98,-16.0,6.928203230275509,0.0,1000
99,-15.5,7.794228634059947,0.0,1000
100,-16.0,8.660254037844386,0.0,1000
101,-15.5,9.526279441628825,0.0,1000
102,-16.0,10.392304845413264,0.0,1000
103,-15.5,11.258330249197702,0.0,1000
104,-16.0,12.12435565298214,0.0,1000
105,-15.5,12.990381056766578,0.0,1000
106,-16.0,13.856406460551018,0.0,1000
107,-15.5,14.722431864335457,0.0,1000
108,-15.0,-15.588457268119894,0.0,1000
109,-14.5,-14.722431864335457,0.0,1000
110,-15.0,-13.856406460551018,0.0,1000
111,-14.5,-12.990381056766578,0.0,1000
112,-15.0,-12.12435565298214,0.0,1000
113,-14.5,-11.258330249197702,0.0,1000
114,-15.0,-10.392304845413264,0.0,1000
115,-14.5,-9.526279441628825,0.0,1000
116,-15.0,-8.660254037844386,0.0,1000
117,-14.5,-7.794228634059947,0.0,1000
118,-15.0,-6.928203230275509,0.0,1000
119,-14.5,-6.06217782649107,0.0,1000
120,-15.0,-5.196152422706632,0.0,1000
121,-14.5,-4.330127018922193,0.0,1000
122,-15.0,-3.4641016151377544,0.0,1000
123,-14.5,-2.598076211353316,0.0,1000
124,-15.0,-1.7320508075688772,0.0,1000
125,-14.5,-0.8660254037844386,0.0,1000
126,-15.0,0.0,0.0,1000
127,-14.5,0.8660254037844386,0.0,1000
128,-15.0,1.7320508075688772,0.0,1000
129,-14.5,2.598076211353316,0.0,1000
130,-15.0,3.4641016151377544,0.0,1000
131,-14.5,4.330127018922193,0.0,1000
132,-15.0,5.196152422706632,0.0,1000
133,-14.5,6.06217782649107,0.0,1000
134,-15.0,6.928203230275509,0.0,1000
135,-14.5,7.794228634059947,0.0,1000
136,-15.0,8.660254037844386,0.0,1000
137,-14.5,9.526279441628825,0.0,1000
138,-15.0,10.392304845413264,0.0,1000
139,-14.5,11.258330249197702,0.0,1000
140,-15.0,12.12435565298214,0.0,1000
141,-14.5,12.990381056766578,0.0,1000
142,-15.0,13.856406460551018,0.0,1000
143,-14.5,14.722431864335457,0.0,1000
144,-14.0,-15.588457268119894,0.0,1000
145,-13.5,-14.722431864335457,0.0,1000
146,-14.0,-13.856406460551018,0.0,1000
147,-13.5,-12.990381056766578,0.0,1000
148,-14.0,-12.12435565298214,0.0,1000
149,-13.5,-11.258330249197702,0.0,1000
150,-14.0,-10.392304845413264,0.0,1000
151,-13.5,-9.526279441628825,0.0,1000
152,-14.0,-8.660254037844386,0.0,1000
