Node Number,X,Y,Z,Weight
180,-13.0,-15.588457268119894,0,0.9924978049383614
181,-12.5,-14.722431864335457,0,0.44721751781684405
182,-13.0,-13.856406460551018,0,0.14987720966295234
183,-12.5,-12.990381056766578,0,-0.7323723324376428
184,-13.0,-12.12435565298214,0,-0.8787166975428047
185,-12.5,-11.258330249197702,0,-0.8977525182584913
186,-13.0,-10.392304845413264,0,-0.8048090667832768
187,-12.5,-9.526279441628825,0,-0.008270283271942394
188,-13.0,-8.660254037844386,0,0.08735244321299503
189,-12.5,-7.794228634059947,0,0.8288468531038243
190,-13.0,-6.928203230275509,0,0.8288468531038243
191,-12.5,-6.06217782649107,0,0.9702044875563652
192,-13.0,-5.196152422706632,0,0.9906073556948704
193,-12.5,-4.330127018922193,0,0.6149999798625871
194,-13.0,-3.4641016151377544,0,0.775340096249282
195,-12.5,-2.598076211353316,0,0.19942854871411905
196,-13.0,-1.7320508075688772,0,0.5214133449832696
197,-12.5,-0.8660254037844386,0,-0.03639848633421769
198,-13.0,0.0,0,0.4201670368266409
199,-12.5,0.8660254037844386,0,-0.03639848633421769
200,-13.0,1.7320508075688772,0,0.5214133449832696
201,-12.5,2.598076211353316,0,0.19942854871411905
202,-13.0,3.4641016151377544,0,0.775340096249282
203,-12.5,4.330127018922193,0,0.6149999798625871
204,-13.0,5.196152422706632,0,0.9906073556948704
205,-12.5,6.06217782649107,0,0.9702044875563652
206,-13.0,6.928203230275509,0,0.8288468531038243
207,-12.5,7.794228634059947,0,0.8288468531038243
208,-13.0,8.660254037844386,0,0.08735244321299503
209,-12.5,9.526279441628825,0,-0.008270283271942394
210,-13.0,10.392304845413264,0,-0.8048090667832768
211,-12.5,11.258330249197702,0,-0.8977525182584913
212,-13.0,12.12435565298214,0,-0.8787166975428047
213,-12.5,12.990381056766578,0,-0.7323723324376428
214,-13.0,13.856406460551018,0,0.14987720966295234
215,-12.5,14.722431864335457,0,0.44721751781684405
216,-12.0,-15.588457268119894,0,0.7330257359417005
217,-11.5,-14.722431864335457,0,-0.16722487140352646
218,-12.0,-13.856406460551018,0,-0.4962318613809222
219,-11.5,-12.990381056766578,0,-0.9975094208281222
220,-12.0,-12.12435565298214,0,-0.9758892681958303
